Project_Name,Project_URL,Project_Hash,Test_id,OD_Type,Polluter_or_Setter,Cleaner,Path,SHA
BT-Tracker,https://github.com/nordwind80/BT-Tracker,558c15b399871c1ca11d0c4ae1eb598e3060931e,Tracker/tests/test_event.py::TestEvent::test_object,brittle,Tracker/tests/test_event.py::TestEvent::test_state_change,,BT-Tracker/ipflakies_result/d94526b0/patch/test_event_patch_91e72946.patch,558c15b399871c1ca11d0c4ae1eb598e3060931e
Breathe,https://github.com/mrob95/Breathe,4600818e24f4156cd7bb8cc0f43886b27323968e,tests/test_loading.py::test_loading,brittle,tests/test_loading.py::test_loading_failure,,Breathe/ipflakies_result/55d0ab3c/patch/test_loading_patch_1dd2b94c.patch,7bf0a53acf158e78cd118bc2c98dc71106bdcb49
Breathe,https://github.com/mrob95/Breathe,4600818e24f4156cd7bb8cc0f43886b27323968e,tests/test_loading.py::test_reloading,brittle,tests/test_loading.py::test_loading_failure,,Breathe/ipflakies_result/2ec854e9/patch/test_loading_patch_1dd2b94c.patch,7bf0a53acf158e78cd118bc2c98dc71106bdcb49
Breathe,https://github.com/mrob95/Breathe,4600818e24f4156cd7bb8cc0f43886b27323968e,tests/test_merger.py::test_context_commands,brittle,tests/test_merger.py::test_core_commands,,Breathe/ipflakies_result/a343ba34/patch/test_merger_patch_0cac14c1.patch,7bf0a53acf158e78cd118bc2c98dc71106bdcb49
Breathe,https://github.com/mrob95/Breathe,4600818e24f4156cd7bb8cc0f43886b27323968e,tests/test_merger.py::test_core_commands,victim,tests/test_command_context.py::test_manual_context,tests/test_command_context.py::test_manual_context_noccr,Breathe/ipflakies_result/8f0372f0/patch/test_merger_patch_e84d29f7.patch,7bf0a53acf158e78cd118bc2c98dc71106bdcb49
Breathe,https://github.com/mrob95/Breathe,4600818e24f4156cd7bb8cc0f43886b27323968e,tests/test_merger.py::test_invalid,brittle,tests/test_command_context.py::test_manual_context,,Breathe/ipflakies_result/b5d99e0c/patch/test_merger_patch_80641bc9.patch,7bf0a53acf158e78cd118bc2c98dc71106bdcb49
Breathe,https://github.com/mrob95/Breathe,4600818e24f4156cd7bb8cc0f43886b27323968e,tests/test_merger.py::test_noccr_commands,brittle,tests/test_merger.py::test_global_extras,,Breathe/ipflakies_result/a3dc25d2/patch/test_merger_patch_cd15fbd5.patch,7bf0a53acf158e78cd118bc2c98dc71106bdcb49
IOCynergy,https://github.com/omersaraf/IOCynergy,1821423680f741d8ca06bcc6a02c8b21156f9ba0,cynergy/tests/test_register_multiple.py::test_register_multiple,victim,cynergy/tests/test_register_multiple.py::test_multiple_list_arguments,cynergy/tests/test_class_mapping.py::test_class_mapping,IOCynergy/ipflakies_result/0f33da25/patch/test_register_multiple_patch_06d164b9.patch,1821423680f741d8ca06bcc6a02c8b21156f9ba0
LabIFSC,https://github.com/gjvnq/LabIFSC,cb56b75f51eb54680d0b81f4c87aa0234538a2a8,tests/medida_test.py::test_medida_si_2,brittle,tests/medida_format_test.py::test_medida_format_A1,,LabIFSC/ipflakies_result/1eff5e51/patch/medida_test_patch_d0b3dbba.patch,cb56b75f51eb54680d0b81f4c87aa0234538a2a8
LabIFSC,https://github.com/gjvnq/LabIFSC,cb56b75f51eb54680d0b81f4c87aa0234538a2a8,tests/medida_test.py::test_medida_si_3,brittle,tests/medida_format_test.py::test_medida_format_A1,,LabIFSC/ipflakies_result/bc09b078/patch/medida_test_patch_d0b3dbba.patch,cb56b75f51eb54680d0b81f4c87aa0234538a2a8
NestedDictionary,https://github.com/cahoy/NestedDictionary,881f0ea8af36a60fcd1b9d7a84b1aec4cd7072b2,easy_dict/tests/test_01_default.py::test_del,brittle,easy_dict/tests/test_01_default.py::test_quick_assign,,NestedDictionary/ipflakies_result/2167d10c/patch/test_01_default_patch_f4ffda46.patch,881f0ea8af36a60fcd1b9d7a84b1aec4cd7072b2
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_progress_bars,victim,test/test_histogram.py::test_histogram_input_type,test/test_occam_data.py::test_occam_data_save_load,OccamTools/ipflakies_result/aa1c2149/patch/test_occam_data_patch_f5595f1a.patch,fcaaac4fb7257605d5675c1a66f6a020373258a8
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_progress_bars,victim,test/test_histogram.py::test_histogram_dimension,test/test_occam_data.py::test_occam_data_save_load,OccamTools/ipflakies_result/aa1c2149/patch/test_occam_data_patch_f5595f1a.patch,fcaaac4fb7257605d5675c1a66f6a020373258a8
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_progress_bars,victim,test/test_histogram.py::test_histogram_time_steps,test/test_occam_data.py::test_occam_data_save_load,OccamTools/ipflakies_result/aa1c2149/patch/test_occam_data_patch_f5595f1a.patch,fcaaac4fb7257605d5675c1a66f6a020373258a8
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_progress_bars,victim,test/test_occam_data.py::test_occam_data_not_equal,test/test_occam_data.py::test_occam_data_save_load,OccamTools/ipflakies_result/aa1c2149/patch/test_occam_data_patch_f5595f1a.patch,fcaaac4fb7257605d5675c1a66f6a020373258a8
Tale,https://github.com/irmen/Tale,a2a26443465ab6978b32d9253e833471500e7b68,tests/test_pubsub.py::TestPubsub::test_unsubscribe_all,victim,tests/test_pubsub.py::TestPubsub::test_idletime,tests/test_pubsub.py::TestPubsub::test_destroy,Tale/ipflakies_result/4d4fddac/patch/test_pubsub_patch_44829275.patch,a2a26443465ab6978b32d9253e833471500e7b68
alphanum_code,https://github.com/ylaizet/alphanum_code,fb5cd313dc41f046aac01ff01d6e1561d17894a6,tests/test_alphanum_code.py::test_next_code,brittle,tests/test_alphanum_code.py::test_init_code,,alphanum_code/ipflakies_result/690d14c3/patch/test_alphanum_code_patch_e32586eb.patch,fb5cd313dc41f046aac01ff01d6e1561d17894a6
autoclasswrapper,https://github.com/pierrepo/autoclasswrapper,af43dd833e5586386098d1793a59332e968069da,tests/test_output.py::TestOutputClass::test_write_dendrogram,brittle,tests/test_output.py::TestOutputClass::test_write_cluster_stats,,autoclasswrapper/ipflakies_result/4a848dd6/patch/test_output_patch_0f600afc.patch,af43dd833e5586386098d1793a59332e968069da
autodiscover,https://github.com/nicolaszein/autodiscover,3009f81c51b7a4cb077427e429d740db98eb173b,tests/test_autodiscover.py::TestAutoDiscover::test_autodiscover_with_pattern,brittle,tests/test_autodiscover.py::TestAutoDiscover::test_autodiscover,,autodiscover/ipflakies_result/20a8783c/patch/test_autodiscover_patch_b4e13c82.patch,ac470c758afa11b8008c20c5eead29219720d329
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_create_document,victim,examples/test_pytest.py::test_index,tests/test_autodoc.py::TestAutodoc::test_create_markdown_document,py-autodoc/ipflakies_result/c4d340dc/patch/test_autodoc_patch_031b4820.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_gen_each_case.py::TestUnittest::test_foo_bar,tests/test_autodoc.py::TestAutodoc::test_clear_responses,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_fce4d8dc.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_gen_each_case.py::TestUnittest::test_foo_bar,tests/test_autodoc.py::TestAutodoc::test_create_document,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_ac7fa065.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_gen_each_case.py::TestUnittest::test_foo_bar,tests/test_autodoc.py::TestAutodoc::test_create_markdown_document,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_031b4820.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_gen_each_case.py::TestUnittest::test_get,tests/test_autodoc.py::TestAutodoc::test_clear_responses,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_fce4d8dc.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_gen_each_case.py::TestUnittest::test_get,tests/test_autodoc.py::TestAutodoc::test_create_document,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_ac7fa065.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_gen_each_case.py::TestUnittest::test_get,tests/test_autodoc.py::TestAutodoc::test_create_markdown_document,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_031b4820.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_gen_each_case.py::TestUnittest::test_post,tests/test_autodoc.py::TestAutodoc::test_clear_responses,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_fce4d8dc.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_gen_each_case.py::TestUnittest::test_post,tests/test_autodoc.py::TestAutodoc::test_create_document,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_ac7fa065.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_gen_each_case.py::TestUnittest::test_post,tests/test_autodoc.py::TestAutodoc::test_create_markdown_document,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_031b4820.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_pytest.py::test_index,tests/test_autodoc.py::TestAutodoc::test_clear_responses,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_fce4d8dc.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_pytest.py::test_index,tests/test_autodoc.py::TestAutodoc::test_create_markdown_document,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_031b4820.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_pytest.py::test_post,tests/test_autodoc.py::TestAutodoc::test_clear_responses,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_fce4d8dc.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_pytest.py::test_post,tests/test_autodoc.py::TestAutodoc::test_create_markdown_document,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_031b4820.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_requests.py::TestUnittest::test_foo_bar,tests/test_autodoc.py::TestAutodoc::test_clear_responses,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_fce4d8dc.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_requests.py::TestUnittest::test_foo_bar,tests/test_autodoc.py::TestAutodoc::test_create_document,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_ac7fa065.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_requests.py::TestUnittest::test_foo_bar,tests/test_autodoc.py::TestAutodoc::test_create_markdown_document,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_031b4820.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_requests.py::TestUnittest::test_get,tests/test_autodoc.py::TestAutodoc::test_clear_responses,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_fce4d8dc.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_requests.py::TestUnittest::test_get,tests/test_autodoc.py::TestAutodoc::test_create_document,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_ac7fa065.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_requests.py::TestUnittest::test_get,tests/test_autodoc.py::TestAutodoc::test_create_markdown_document,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_031b4820.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_requests.py::TestUnittest::test_post,tests/test_autodoc.py::TestAutodoc::test_clear_responses,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_fce4d8dc.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_requests.py::TestUnittest::test_post,tests/test_autodoc.py::TestAutodoc::test_create_document,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_ac7fa065.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_requests.py::TestUnittest::test_post,tests/test_autodoc.py::TestAutodoc::test_create_markdown_document,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_031b4820.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_unittest.py::TestUnittest::test_foo_bar,tests/test_autodoc.py::TestAutodoc::test_clear_responses,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_fce4d8dc.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_unittest.py::TestUnittest::test_foo_bar,tests/test_autodoc.py::TestAutodoc::test_create_document,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_ac7fa065.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_unittest.py::TestUnittest::test_foo_bar,tests/test_autodoc.py::TestAutodoc::test_create_markdown_document,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_031b4820.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_unittest.py::TestUnittest::test_get,tests/test_autodoc.py::TestAutodoc::test_clear_responses,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_fce4d8dc.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_unittest.py::TestUnittest::test_get,tests/test_autodoc.py::TestAutodoc::test_create_document,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_ac7fa065.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_unittest.py::TestUnittest::test_get,tests/test_autodoc.py::TestAutodoc::test_create_markdown_document,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_031b4820.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_unittest.py::TestUnittest::test_post,tests/test_autodoc.py::TestAutodoc::test_clear_responses,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_fce4d8dc.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_unittest.py::TestUnittest::test_post,tests/test_autodoc.py::TestAutodoc::test_create_document,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_ac7fa065.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_unittest.py::TestUnittest::test_post,tests/test_autodoc.py::TestAutodoc::test_create_markdown_document,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_031b4820.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,tests/test_not_generate.py::TestAutodocNotGenerate::test_should_not_generate,tests/test_autodoc.py::TestAutodoc::test_clear_responses,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_fce4d8dc.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,tests/test_not_generate.py::TestAutodocNotGenerate::test_should_not_generate,tests/test_autodoc.py::TestAutodoc::test_create_document,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_ac7fa065.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,tests/test_not_generate.py::TestAutodocNotGenerate::test_should_not_generate,tests/test_autodoc.py::TestAutodoc::test_create_markdown_document,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_031b4820.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_responses,victim,examples/test_gen_each_case.py::TestUnittest::test_foo_bar,tests/test_autodoc.py::TestAutodoc::test_clear_responses,py-autodoc/ipflakies_result/66ce5772/patch/test_autodoc_patch_fce4d8dc.patch,a31c36bb19da26931424ee7e118daae5543352b0
